id,reviewer_name,reviewer_username,date,rating,review_text
1,Par H,Parhwy,6d,4.5,"Parasite has one flaw: there are an incredibly small number of flaws compared to many, many other films. It is not the acting. Not the cinematography. Nor the characters. Nor make-up. Nor costuming. The only flaw to be mentioned is a plot step: that the old housekeeper is let back into the house without due cause when the Kims are in the middle of partying it up at the Park’s house. It’s crucial yet weak. Perhaps it’s a cultural thing? Given they manipulated her out, her presence is risky even at a base level. It’s essential to the final scenes. Aside from this belaboured whinge, this film is so funny, so clever and so pretty. When Mrs Park said ""Do it clockwise"" I laughed loud and long. All scenes and settings are chockers with aesthetic. The Kim’s house, Park’s, streets, car interiors… just so much wow. The ending puzzled me however the final act is brutal. The finale tells more than shows more so than any other section. Rewatch? Yes. Recommend? Yes."
2,Jane C,JaneConquest,Feb 26,5,"Remarkably well done. First watched it a few years ago, and it’s only gotten better."
3,din d,L1J2K3,Feb 22,4.5,"Just the base idea of this film is gratifying enough but the other twists and turns this story takes emphasizes the importance and story much more. The story itself is so well thought out and put together that I wouldn't be surprised if it was based on a real story. Wherever this movie goes, even when some of the crazier things happen it always has this sense of realism, and with an ending as emotional as this movie has it's hard not to give a round of an applause to Parasite."
4,Richard M,Frogbreath81,Feb 20,5,"Excellent original story telling. With a phenomenal cast and a phenomenal script, this what true cinema should feel like. All characters are equally important and equally strange."
5,Charlie B,Charliebird,Feb 12,2.5,"This movie is overrated in my opinion. It keeps you confused the whole movie then doesn’t deliver on any meaningful twist. Plus, what did poor people ever do to who ever wrote this? The real parasite class is the richest people not the poorest."
6,Rebecca K,mbearkouider,Feb 3,5,A perfect film. Every shot is meaningfully composed with stunning visuals; every actor gives career-best performances; the story stays with you and demands to be thought about; many memorable scenes and sequences. Just an incredible piece of work.
7,Aria S,aria918,Jan 31,5,One of the best films of all time.
8,Thorsten L,Thor81,Jan 31,4,"I only came to like the film on a second viewing. On my first attempt, the family annoyed me; the second time around, I was able to focus much more on the visual language and the imagery. A truly convincing social film — and an answer to the question of what poverty smells like. (That said, even though Bong Joon-ho made a genuinely great film, I still believe Sam Mendes should have won the Best Director Oscar that year.)"
9,Sávio S,s.miranda-7,Jan 29,4.5,"o simbolismo esta em todas as partes, a mensagem trazida do ponto de vista de classes sociais trás uma reflexão primorosa sobre o próximo, a batalha diária na qual figuramos na vida dos outros, e a ganancia por trás dos falsos humildes que querem ser como aqueles que eles mesmos criticam."
10,Nick O,nottergode,Jan 28,5,"One of the best films I’ve seen in years! There’s hardly any good films anymore. And maybe 1 or 2 great ones a year. This is one of them. Every performance is layered with complex, tragic, and morally grayness. The soundtrack is constructed beautifully, the sets are impeccable, and the story has so many twists and turns you’ll never see coming. It goes from a comedy, to a thriller, and finally a tragedy. Just wow!"
11,Abe W,N/A,Jan 21,4.5,"Wonderful. This movie will keep you on the edge of your seat the entire time. Like Jenga, stress and pressure grows throughout the film before collapsing at the very end. Besides its entertainment value, Parasite spotlights real world themes, including social class difference and greed. Highly recommend."
12,Darcy J,Darcidious,Jan 18,4,"good twist, however the first half dragged on."
13,Michael G,micgriffin12,Jan 16,5,Foot on the gas from start to finish. Even with subtitles this movie kills it. The climactic ending is one of one.
14,Marco L,decatur555,Jan 14,4.5,"Parasite leaves you with the feeling of having seen something truly different. It starts almost like a game, lowers your guard, and gradually pulls you into something far darker. One of its greatest strengths is how effortlessly it blends tones: black comedy, social satire and rising tension coexist without ever feeling forced. The film’s use of space and visual contrasts adds as much meaning as the dialogue, giving every scene a precise but never cold clarity. Bong Joon-ho observes rather than judges, letting the story speak for itself while pressing exactly where it hurts most. It’s smart, sharp, uncomfortable and deeply entertaining. Not quite perfect, but very close."
15,Zach J,Jenkins158,Jan 13,4,8.5/10
16,Sejal P,Sejudom,Jan 11,5,An example of a perfect film.
17,Marta P,Mila26,Jan 10,5,"Is an absolute must-see. True, harsh, it hits you right in the face. This movie explains and makes you understand so many sad existing realities of our world"
18,Cam S,Camaree,Jan 9,5,Timeless. A tasteful inspiration.
19,Andreios S,V24Reaper,Jan 4,5,"THE GOOD: At face value, the drama is very cartoony and almost sit com like. It's entertaining, sure, but it's not what makes this movie so good. What makes it so good is the layered messaging/symbolism hidden in so many scenes about classism. Acting is superb. cinematography is great. The twists and turns are all enticing and make you want to keep watching. The director teases so many different directions the movie COULD take. It's done masterfully to keep you engaged and on your toes the entire time. THE BAD: Some of the scenes are a little bit too cartoony/ridiculous for my liking. The father dragging himself across the room just looked bad. He clearly did it for the suspense and drama but for me it just landed flat. The other bad thing about this movie is that it's not for everyone. It's a thinker movie. That's why it's not super mainstream. It doesn't take away from the movie but it's definitely a downside. This is not a movie you turn on to be brainlessly entertained."
20,Koy,PlayingKoy,Jan 3,5,"I didn't watch this film until well after it dominated at the Academy Awards. Much to my pleasant surprise, it absolutely lived up to its reputation. Simply incredible and engaging."
21,Led 9,Mr.James,Jan 2,1.5,Watched it because I saw it recommended on a horror site I follow. It was definitely not horror in any way. Really disappointed.
22,Andrew Y,AJYuhNG33,Dec 27,1,Way over rated. horrible acting and fake blood. not worth it.
23,Diane B,BklynWriter,Dec 27,5,"Yes, you have to watch subtitles. It's worth it: Smart, funny and poignant plot. And, as an added bonus, gives you some insight into South Korean culture."
24,Ludymila C,Ludymila,Dec 26,0.5,"Cara, que filme HORROROSO FOI ESSE? Só assisti porque simplesmente TODO MUNDO falou bem desse filme e que filme HORRÍVEL! Perdi 2h da minha vida!"
25,Artur A,arturalcantara,Dec 20,5,"MARAVILHOSOOOOO. A direção, atuação… tudoooooo. A crítica social perfeita e super bem feita!!!!! Tudo é bem colocado, nada é coincidência… Queria que o mundo todo fosse obrigado a ver essa obra prima."
26,Alejandro G,Elitemovietasteonly,Dec 14,5,"Unforgettable. One of my favorite movies that I’ve rewatched multiple times and never gets old. Evokes so many emotions from joy, to sadness, to unnerved and more. most importantly, the movie has a powerful message. 10/10 recommend"
27,Nathan R,Justchuckles,Dec 14,1,"This movie doesn't have a great plot when you think about it. The filmography is great, the acting is good enough, but if you lifted the plot of this movie out of the trappings of it's high production value, it stands to reason you would be bored out of your mind. It sort of makes me think it was written as a comedy initially and then someone just wanted to change the ending. Let's simplify: Let's say Woo is our main character. Does he learn anything? Does he change in anyway? Is he less likely to be a fraudster in the future? Nope, not really. And all of the nonsense with the former maid. None of it actually changes the story. If you replace the husband of the maid with any random person, the movie would fundamentally not change. There are plenty of people within the story: the driver, the mother, a the pissing homeless person - who could take the place and the movie would be the same. Just another high production movie that demands praise for blowing money."
28,Anthony Y,Antoniobruv,Dec 8,5,"Greatest movie of all time fight me on that the message portrays in amazing context and ways, I love the message itself since it’s from the poor and the rich. It’s amazing how they include elements to explain it."
29,Ken D,madeinKenya,Dec 3,5,Powerful!!! One family lives off another causing harm. A parasite!
30,Romas M,Romas,Dec 2,5,"""Parasite"" is to simply put - the best South Korean movie i have ever seen. And i saw more then few of them and really loved them - i think that this country makes best movies in Asia - in my personal opinion. ""Parasite"" is nothing short of a small masterpiece. It is a stupendously entertaining movie that ""hooked"" me from the first 45 seconds till the last frame for its entire 2 h 9 min running time - i was blown away of how amazingly crafted, acted, written and directed this movie was in every scene. The story was fresh and unique and universal. You can throw a rock at me if Hollywood won't remake this movie with some very well known actors in near future - it is a pure diamond in a movie market. Overall, ""Gisaengchung"" is by far one of the few best movies I've seen this year. It is unusually entertaining and involving story that shows of just how there are big differences in our society, between poor and rich. It's a universal theme. And this movie is a universal treasure."
31,Diego C,N/A,Nov 25,2.5,"Overhyped, decent but not anything special."
32,Rich V,rjvatthemovies,Nov 25,5,"One of the best films in recent years. Funny, action packed, surprising and with a point. Plus it looks great."
33,letaiser,N/A,Nov 22,5,"I remember watching this first time and not being a fan of it. So after almost 6 years after the release I gave this Movie a watch again since I couldnt remember anything of it. This absolutely blew me away, when I saw the ending I was speechless, it was just sad and absoloutely shocking at the same time and the one iconic scene with the man walking up the stars, while the boy is eating his cake, sends you shivers down your spine. Im glad I watched this Movie once again because this gave me a whole other portrait of this Movie, this is a masterpiece."
34,Paramveer s,N/A,Nov 22,4,Will need a good understanding of both movies and social life. great movie btw.
35,Ethan O,N/A,Nov 19,5,Best movie of all time.
36,Jack F,MovieFan111,Nov 19,5,Definitely his masterpiece. And everyone you talk to loves this movie. I love this movie. Meant to be watched again and again.
37,Mei G,jigglypuff,Nov 12,5,"So many genres in one film with such a complicated, sharp critique of the impacts of classism and inequality on one’s humanity."
38,Maksim S,MaksimusMovies,Nov 11,5,"Bong Joon-ho’s Parasite represents a paradigmatic breakthrough in contemporary global cinema, an incisive exploration of class, capitalism, and human duplicity rendered with both stylistic audacity and narrative precision. The film’s meticulous mise-en-scène transforms the domestic sphere into a symbolic theater of socio-economic tension, where architectural design, spatial hierarchy, and visual composition become instruments of storytelling as potent as dialogue. Each performance, from the parasitic Kim family to the oblivious Parks, oscillates between caricature and startling verisimilitude, sustaining a tonal dexterity that shifts seamlessly between dark comedy, suspense, and moral horror. Bong’s screenplay interrogates systemic inequality with surgical wit, exposing the grotesque absurdities and inevitable tragedies that emerge from entrenched social stratification. Parasite is not merely a cinematic triumph; it is an intellectual and aesthetic reckoning, a work in which the personal and political, the grotesque and the elegiac, coalesce into a singularly compelling meditation on the human condition—a film that justifiably reshaped the international cinematic landscape."
39,Kristina N,N/A,Nov 10,5,"From the darkly comic to the deeply tragic, Parasite has everything. Designed as a masterful combination of drama, thriller, and black comedy, it tells the story of two families from completely opposite worlds — one poor, one rich — whose lives intertwine in unpredictable and unsettling ways. If you’re looking for something intense, thought‑provoking, and unforgettable, it’s definitely worth seeing this film. As a movie fan myself, I was really delighted to watch such a fascinating mix of humor and suspense. The first thing that caught my eye was the film’s perfect balance between realism and symbolism. Initially, I thought it was simply satire ridiculing the big gap in social inequality, but actually it turns into a gripping psychological thriller that keeps you guessing. Among all the elements of the film, there are some truly intelligent ideas too, like how the director shows social inequality and moral corruption through space and architecture. My personal favourite? The shocking twist halfway through the film — brilliant and haunting. If you like movies that combine strong storytelling with sharp social commentary and creepy moments, Parasite is an absolute must‑see!"
40,Astra G,N/A,Nov 8,2.5,Too dark for yours truly.
41,Crispy S,N/A,Nov 5,4.5,Everything you heard about this film is true....its amazing!
42,Michael M,McKenz,Nov 2,4.5,Very good movie. Would like to watch again. 87/100
43,Evelyn J,docent,Oct 31,5,"Fascinating , engaging , imaginative story !"
44,Julian T,N/A,Oct 31,5,"Amazing, watched it twice. Did not watch the blak and white version. Not artsy enough for that and to appreciate it."
45,Thea C,N/A,Oct 29,4.5,"wow, this is incredible. glad i finally got around to it"
46,Kelly P,iriewoman,Oct 29,5,Best movie of all time
47,VITALII H,freakynickison,Oct 29,5,No spoilers. Haven't seen a movie this good in a hot minute. This one was worth a watch to say the least. No critique.
48,Hmm H,N/A,Oct 28,4.5,"I really really loved Parasite, and it's definitely up there in my top 5. I mean, what more do you want from a movie? Amazing soundtrack, amazingly creative and sound plot that gripped me all the way to the end, amazing acting from an amazing cast and an amazingly twisted ending. The reason why this review is so short is because I literally have nothing else to say about it. Not gonna spoil anything if you haven't seen it, so go watch Parasite."
49,Hc N,N/A,Oct 27,4,"I really like the dynamic between characters but as the story builds it gets a little to dramatic for my taste (like a transition from drama to hysterics and splatter), but I remember thinking the same when watching Korean movies earlier."
50,Max L,N/A,Oct 25,1.5,"Save your time for something else. Can't belive it won an ocar for best picture. Plot goes no where, characters don't develop. I lkied the architecture fo the house. Seriously that is the best thing in this movie."
