id,author,date,user_rating,review_title,review_text
1,Leofwine_draca,N/A,9,Genius thriller,9/10Genius thrillerSpoiler
2,ruffinelli_ro,N/A,9,A trip into the mind,"If the director of this independent film tried to make us feel really confused, like the main character, he did it wonderfully. There are only a few movies like this one, the kind of movies that makes you pay attention to every minute of it. Obviously that doesn't work all the time, but this case is the exception. Really well directed with a wonderful photography and excellent cast. The main actors' performances are great. We really root for the guy as we hate the ones who try to take advantage of him.Original films like this one always stand out. Perhaps it didn't caught much attention at first but now it is in an important position at the IMDb top 250 and that means that most the people recognize great movies when they see them.As I said before, this movie is a little confusing because it runs backwards while the black and white scenes run in chronological order. But that wasn't a cheap trick to make the movie more ""intelectual"", it was its strength. A rare film that shouldn't be missed."
3,Hitchcoc,N/A,9,Mind Blowing,9/10Mind BlowingSpoiler
4,nateahoey,N/A,10,I guessed and guessed... I never got close.,10/10I guessed and guessed... I never got close.Spoiler
5,soloyoda,N/A,N/A,Absolutely No Spoilers Here--READ THIS REVIEW INSTEAD!!!!,"Thank Goodness I didn't read the reviews posted before I saw the film!! Most reviews (including ones on this site) will tell you waaayyyy too much about the movie, and that's just plain frustrating.  But, as an avid cinephile, I promise not to do the same.Memento is one of those pictures that will have you sitting in the theater after the lights come up so you can talk to everyone else about what they thought of the movie.  This is a highly intelligent and original brain teaser that will have you guessing from beginning to end, and even afterwards.  The story and the direction are the best I've seen so far this year, and it deserves all the kudos it gets.Plainly put, the film tells the story of Leonard Shelby:  a man who lost his short term memory in an assault where his wife was raped and murdered;  now he's looking for the killer, despite his handicap.  Simple as that.  You don't need to know anymore.The film is constructed and told in such a way that you are constantly put into the shoes of Leonard Shelby, beautifully played by Guy Pierce. Carrie-Ann Moss gives an equally mysterious and complex performance.  This film is well-made all the way around--from the direction, to the editing, and especially the unique story that is rarely found in Hollywood these days.  Four Stars!This review may have been a little dry on the details, but go see the movie--you'll be thanking me later.PS: Only go to the official website AFTER you've seen the movie.  It too will give too much away.  Afterwards, though, go and look at it--it's pretty impressive."
6,ltlrags,N/A,10,An unforgettable trip into the mind of a man with no memory,10/10An unforgettable trip into the mind of a man with no memorySpoiler
7,wkbeason,N/A,10,Innovative narrative structure makes for a powerful viewing experience,10/10Innovative narrative structure makes for a powerful viewing experienceSpoiler
8,Old Joe,N/A,10,Some memories are best forgotten. You have to appreciate how original a movie Memento' really is!,"Losing your memory would have to go close to one of the worst experience anyone could ever suffer from. In the movie Memento', we get to see how bad it is to suffer from short term memory loss. It also gives us the chance to see how far a patient of such a disease will go to remember what is most important to him. In the vain of Pulp Fiction', Memento is a movie that has to be seen to be believed. It is no wonder that this movie is so popular with the movie going public around the world.Leonard Shelby wears expensive, tailored suits, drives a late model Jaguar sedan, but lives in cheap, anonymous motels, paying his way with thick wads of cash. Although he looks like a successful businessman, his only work is the pursuit of vengeance: tracking and punishing the man who raped and murdered his wife. The difficulty of locating his wife's killer is compounded by the fact that Leonard suffers from a rare, untreatable form of amnesia'. Although he can recall details of life before his accident' Leonard cannot remember what happened fifteen minutes ago, where he is, where he is going, or why.Christopher Nolan has made one great (but confusing) movie. His style in directing and editing Memento' is quite unique, as no movie has ever been made quite like it before. The story being told in a backward kind of motion makes the audience have to think hard about what they are watching. It also makes the audience feel for a guy like Leonard, whose condition only gets worse and worse as the movie goes on. I am almost 100% sure that Nolan and his brother Jonathan, made up this story in the realisation that it was meant to be confusing. What is also cleverly done by Nolan is the use of black and white and then colour shots. In my opinion, the variations in these shots are used so it confuses the audience even more.Guy Pearce's role in Memento' shows me why he is so successful in Hollywood today. Pearce plays Leonard Shelby, a man on the hunt for his wife's killer. The only problem is that Shelby is suffering from anterior-grade amnesia', a disease that cannot be treated. With Lenny', I feel the audience suffers partly the same condition as he does, and partly does not, as we can remember what has happened in the present.Memento's other main stars include corrupt cop Teddy' (Joe Pantoliano). A friend said of Pantoliano's performance in Memento, he was perfect for the role of Teddy', as he comes across as the mysterious bad guy'. I could not agree more. There is also the character of Natalie (Carrie-Anne Moss) who is a lot like Teddy in her own way. What is similar about these characters is the way they use Leonard's condition to advantage their own situations.Other characters include Sammy Jenkis (Stephen Tobolowsky), who is a victim we learn about from an old case when Leonard Shelby was an insurance investigator. There is Leonard's wife, Catherine (C.S.I.'s Jorja Fox) who is another fascinating character. Although we do not hear her say much, she is a vital part of this most confusing story. Add in the funny role of Burt (Mark Boone Jnr.), the motel clerk, who openly admits to Lenny that he is ripping him off, by giving him two rooms, but that he will not remember it happening anyway.Yet in no way do any of the characters in Memento' realise they are in a time reversed movie. I am sure that many of the performers would have had to read their scripts many times to understand what was happening from a cinematic point of view. But from an acting prospective, this would have been an easy experience to be part of. Memento also has some interesting devices to tell the story. The way Leonard tries to remember things in the present and the future, via notes tattoos and photographs, making them an important element within the movie. Without them, our hero would not be able to remember anything.Nonetheless, memory is the most vital element in this movie, because without it, people are confused, isolated and abused, which is what happens to our hero', Leonard.  As Lenny mentions early on in the film, ""Memory's unreliable ... Memory's not perfect. It's not even that good. Ask the police; eyewitness testimony is unreliable ... Memory can change the shape of a room or the colour of a car. It's an interpretation, not a record. Memories can be changed or distorted, and they're irrelevant if you have the facts.""  But it has to be ironic that Leonard is the one who narrates Memento', when his recollections and memories of events are inaccurate and jaded. There are also some powerful scenes in Memento'. The one which sticks in my mind the most' has to be where Natalie abuses Leonard, calling his dead wife a whore', snorting smartly that you won't be even able to remember what I have said'.So, if you watch this movie and it confuses you the first or even the second time, I can assure you that is how you are meant to feel, confused. If you hated watching Memento' the way Christopher Nolan intended, then I can only recommend that you get a hold of the DVD and watch it in chronological order, as it will really help you. Memento also shows how bad mental disease' patients can be abused by healthy people and what lengths sick patients will go to try and keep sane'. Also, if a movie makes you think, then in some way it has been successful in doing something that many movies do not do  making you think. Those sorts of cinematic experiences are the ones that we need to cherish for life, as they are few and far between. Memento is one such experience.CMRS gives Memento': 5 (Brilliant Movie)"
9,kylemyle728,N/A,10,Overview and analysis behind the shocking plot.,10/10Overview and analysis behind the shocking plot.Spoiler
10,adamp-6,N/A,10,watch it early so you can see something else afterward.,"I saw ""Memento"" in the early afternoon, a fact for which I am thankful. Why?  Because it then proceeded to dominate the majority of my thoughts for the rest of the day.  That night I lay in bed, tossing and turning, my mind trying to wrap itself around the story, and I absolutely could not GO TO SLEEP!I finally just gave up on sleep, got up around midnight, and watched ""Election"" to cleanse my palate.  Then I went back to bed and starting contemplating ""Memento"" AGAIN.  Finally, out of sheer exhaustion, I went to sleep.This is a movie that gets in your head and will not get out until you figure it all out.  And that can only be done with extensive internet research. Reading ""Memento Mori"", the short story upon which the movie is ""based"" helped, too.""Memento"" is nothing short of a phenomenon.  And a brilliant one at that."
11,RobTheWatcher,N/A,7,Memento,"Memento is a one of a kind film that to me felt like it didn't quite live up to the hype and reviews. The cinematography itself was superior and the way it filmed was extremely unique and had never been done before which I appreciate. But for how unique and different it was, it was equally confusing and just all over the place. I felt the movie lost your attention and just lacked an overall synergy. The story line was cool and there was a lot of mind bending moments that made you think but I just think this movie could've been redone and been better than it ended up being. Worth the watch regardless still."
12,lasher42,N/A,10,can't believe how much I'm still thinking the day after,"So the ""innovative"" concept of filming out of sequence has been cliche for at least a few years now, but here's a film that makes it work far better than its been shown in a while.Having read the reviews and talked to others who saw it, I thought that I'd go into the movie figuring everything out right away and declaring the concept unworkable.  I couldn't be further from the truth.  This movie does things to your head that are illegal in some countries.  Portrayed (for all intents and purposes) backwards, it forces you to think in the same way that our lead character, Leonard Shelby (Guy Pearce being more brilliant than usual) does.  Suffering from a condition that renders him unable to remember anything for more than a few minutes, he is searching for the man who raped and killed his wife.  Since each seen lasts no more than 15 minutes before jumping back to the what happened before that, our perceptions are shattered in the same way.Carrie-Anne Moss and Joe Pantoliano (both of The Matrix) put in great performances that leave you guessing; simultaneously endearing and revolting.Overall I left the film trying to figure out what was what, and I'm still not sure.  This film noir concept shouldn't work, but it does so wonderfully."
13,ma-cortes,N/A,6,A complex thriller that is sometimes difficult to follow with continuous twists and turns.,"Leonard Shelby (Guy Pearce) lost his short-term memory after the attack and forgets all current events every 15 minutes, or so. He remembers his life prior to the incident, such as being an insurance claims investigator. Problem solved as Shelby tatoos the most vital info all over his body and leaves less permanent clues for himself on Post-its and Polarods of the usual suspects. He has learned to cope with his memory loss through dealing with a man named Sammy Jankis (Stephen Tobolowsky) , a person he investigated professionally who also had short term memory issues. The action thereafter plays forwards as usual - with Leonard out to track down and take revenge on whoever raped and killed his wife. Shelby meets Natalie (Carrie-Anne Moss) and Teddy (Joe Pantoliano) who may want to help him, but like his own memory , definitely can't be trusted. Some memories are best forgotten !.Twisty and and engaging thriller of a man searching for his wife's killer in Los Angeles. Ingeniously constructed flick is told backwards, from Guy Pearce's shooting of the killer to his puzzle-like construction of happenings and renders the audience as clueless as the impaired hero. There's grade A work from all concerned , especially main star, Guy Pearce. Clever use of flashbacks and black and white segments help define events in time. More than usually required mental exercice is more than worth the effort. This taut and ingenious thriller displays interest in how perception and memory shape identity , action and, of course, filmic storytelling. Filmmaker Christopher Nolan adapted the movie from short story: ¨Memento Mori¨ by brother Jonathan Nolan. Interpretations are pretty good, such as Guy Pearce as Leonard Shelby who has short term memory loss resulting from an injury he sustained which was associated with the murder of his wife, along with Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Jorja Fox and Stephen Tobolowsky.It contains a mysterious and unusual score by David Julyan. As well as a colorful and adequate cinematography by Wally Pfister, Nolan's regular. The motion picture was decently written and directed by innovator director Christopher Nolan, though inferior than other own films . Nolan was recognized by his peers with D. G. A. And P. G. A. Award nominations, as well as a W. G. A. Award for his works . Among its many honors, Nollan has received four Academy Awards and eight nominations, including Best Picture and Best Screenplay. Christopher Nolan is a prestigious author of various masterpieces: ¨ Insomnia¨ , ¨The Prestige¨ , ¨Batman begins¨, ¨The Dark Knight¨ , ¨The Dark Knight Rises¨, ¨Dunkirk¨, ¨Tenet¨, among others . Rating : Above average 6.5/10 , it was throughly entertaining and exciting, and no as predictable as you would think . The film results to be a complete pleasure to watch these actors at this work , it's highly recommended and keep you guessing until final ."
14,QuandaleDingleMan,N/A,5,"Unique Concept, But Didn't Work For Me","I went into Memento knowing it had a big reputation-it's often talked about as one of the best thrillers of the 2000s, and I'd heard a lot about its reverse storytelling. I'll admit, the structure is clever. Telling the story backward definitely puts you in the mindset of the main character, Leonard, who suffers from short-term memory loss. It's an interesting way to make the audience feel his confusion and disorientation.From a technical perspective, I understand why people admire it. The editing is tight, the non-linear narrative is handled with skill, and Guy Pearce gives a solid performance. Christopher Nolan clearly had a bold vision, and I respect the creativity it took to put something like this together.That said, I still walked away feeling underwhelmed. While the concept is innovative, the story itself didn't really grab me. I kept waiting for a payoff that never quite delivered. I'm still unsure about the ending, and not in a ""mind-blown"" kind of way, but more like it didn't fully make sense or stick the landing. The mystery felt more confusing than satisfying.Also, as much as the structure is praised, I felt like it was doing a lot of the heavy lifting. Once you strip away the reversed timeline, the plot is decent but not amazing. I didn't feel especially connected to any of the characters, and emotionally, it left me pretty cold.Overall, I don't think Memento is a bad film-it's well-crafted, original, and thought-provoking in parts. But for me, it felt more like an intellectual exercise than a compelling story. It's clearly not a movie for everyone, and unfortunately, I'm one of those people it just didn't click with."
15,quixoboy,N/A,N/A,Addictive and fun to figure out,"Christopher Nolan's ""Memento"" is truly a rare and exceptional achievement in modern filmmaking in that it manages to be new, fresh, hip, and exciting without ever tiring its audience out - unless you're walking into this film without the desire to participate and actively analyze the mysterious details.If that's the case, then this is DEFINITELY not a movie you should see. If, on the other hand, you are open-minded, creative, and alert, you'll definitely appreciate and get a kick out of this one. ""Memento"" is an old-fashioned ""film noir""-type mystery thriller with an intriguing, ingenious twist: outfitting the entire film with a style that mirrors the protagonist's own mental condition while giving the poor viewer(s) his own perspective as well. It is masterfully filmed and edited in such a way that it is chronologically presented backwards (with two initially separate, parallel storylines - the main one, shot in colour, is the chronologically-backwards story with scenes that intercut with those of the other story, which is filmed more like a documentary, shot in black & white, and mostly takes place inside a motel room with the main character narrating, talking about the effects of his condition, etc.) While the average viewer may already be put off by such a complicated, confusing format, it is a very original premise that is well worth the struggle to figure out.Acting is solid across the board, as is the writing, directing, etc., but special kudos must be extended to the very talented editor Dody Dorn, who successfully managed to put all of these fragments together and help them flow in a smooth, healthy manner that is not easy to pull off.One of the most ""memorable"" (sorry, couldn't help slipping in the bad joke) films you're likely to ever see, ""Memento"" is an instant classic due to its groundbreaking narrative style and impressive dramatic undertones. For those jaded moviegoers who seek something to keep them awake, interested, and constantly thinking, there couldn't be a better choice than this film."
16,jbparker,N/A,9,"Its not a gimmick, its something new","Yes, it's true.  The entire movie is based on a gimmick.  However, I honestly feel that this does not cheapen the picture in the slightest bit. I loved every scene; discovering information as our lead character discovered it. It demands a second and third viewing, as there are many subtleties and quick flashes that may not be picked up on the first time around.  Its one of the most original films ever made, and for people who scoff at the concept of not having a short-term memory, it actually is a real condition. Watch this movie. And, please pay attention. The performances are wonderful, and its structured magnificently."
17,jim-cook,N/A,10,The real thing!,10/10The real thing!Spoiler
18,ZuhayrRoha,N/A,10,My mind blows away whenever I start to think about how Nolan wrote the script,10/10My mind blows away whenever I start to think about how Nolan wrote the scriptSpoiler
19,TheLittleSongbird,N/A,10,A very strong contender for Christopher Nolan's best film,"Christopher Nolan has always struck me as a very talented film-maker, and most of his films are ones that have impressed me a lot. Even weaker efforts, where his ambition can get in the way, have a good deal to admire. His films are all impeccably crafted technically, and often entertaining and thought-provoking, also knowing how to get good performances out of talented casts.'Memento' was not his first film, having directed 1998's 'Following', but has been considered by many the film that rose him to fame and brought the world's attention to him. Cannot disagree with this, and also that not only is 'Memento' his first great success but seventeen years later it gets my vote as his best film. It really makes one think hard about what is happening, crucial in a film where a lot of concentration is needed, without being treated like you are an idiot or dumber than you are. It is also one of the few Nolan films where it was difficult to find anything to fault.As always with Nolan, 'Memento' is a wonderfully made film. The cinematography is slick and the production values in general are suitably gritty and audacious , with some scenes strongly reminiscent of film noir (as a fan of film noir that was great to see). David Julyan's synthesised (something that could have sounded tacky but actually adds a lot to the atmosphere) score makes very clever and dynamic use of distinct sounds, oppression, yearning, loneliness and loss having a haunting but also affecting vibe, the feeling of being lost adrift being perfectly captured.Nolan directs impeccably, not letting his ambition get in the way of the storytelling, while the script is smart, thought-provoking and intricate without trying too hard and treating the audience with respect. The pacing is taut while deliberate, and the length, after seeing some later efforts that have suffered from over-length and over-ambition ('Interstellar'), was ideal.It is the story that makes 'Memento' Nolan's most fascinating film, with a unique non-linear, time-reversed structure with two converged time-lines. That sounds on paper confusing but with Nolan telling the story in an intricate, tense and atmospheric way (meaning that he takes his time telling the story) it makes perfect sense, with beautifully interwoven use of thematic motifs of memory, guilt, perception, self-deception and grief and a stunningly moving ending that one does not expect.Guy Pearce is astonishing and give one of his career's best performances, don't think from personal view that he's been as good as this since. He gets excellent support from particularly Joe Pantoliano and even Carrie-Ann Moss.Overall, a brilliant film and a contender (my personal vote certainly) for Nolan's best film. 10/10 Bethany Cox"
20,cjholland,N/A,10,Best Movie of 2001 (Thus Far),"Incredible, riveting and powerful.  What else could I say?  This movie has all of the qualities of classic film noir as well as the magnitude of an original, unique concept that has been tried and tired before but works here.Guy Pearce has been underrated for years (just think back now to Priscilla and can you believe this is the same guy) and finally might get the recognition here that was at least well-deserved of him back for LA Confidential.  Powerful perfomances, well developed story with suspensful buildup of what our main character pieces together little by little makes this a must see.Easily in my top 100 of all time."
21,EThompsonUMD,N/A,9,Original and intriguing film noir revision.,9/10Original and intriguing film noir revision.Spoiler
22,alexclover,N/A,7,Snazzy editing doesn't make an amazing film,"The majority of people on this comments board attribute this film's success to its very original editing style. The film is built upon this style, showing you a present-time snippet of the main character which leaves you wondering about why he got there and what he's doing. The film then continues showing you a snippet of the immediate preceding past of the main character, and so on backwards in time helping you understand the beginning of the film. That's where the movie's originality stops. The plot itself is filled with huge holes. While the premise is interesting, it is hardly plausible that someone with no short-term memory would not be 'assisted' by society in any way, nor that he could not have a notebook handcuffed to him or something rather than all the tattoos. I found the movie rather predictable and did not really care about the movie after about halfway through.Still, an interesting and innovative movie-making style with a neat, if unplausible, situation for the main character. This coupled with sometimes very unconvincing acting by the main actor (although it is a hard role, he never really pulls it off) and a wholly boring plot earns this movie a 7 in my book.If you want to see a real whodunnit type movie that will haunt you for a long time to come, try Thesis by Spanish director Almenabar which I saw last night and save Memento for a day you want to study film rather than enjoy it."
